index,experiment,num_layers,filters,kernel_size,pooling,macro_f1,model_path,weights_path,history_path,shared_parameters
13,12,3,64,3,max,0.760607078710767,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/cnn_exp_13.keras,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/keras_weights_exp_12.npy,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/history_exp_12.pkl,True
9,8,3,32,3,max,0.7439055657014121,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/cnn_exp_09.keras,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/keras_weights_exp_8.npy,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/history_exp_8.pkl,True
15,14,3,64,5,max,0.7418055879035851,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/cnn_exp_15.keras,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/keras_weights_exp_14.npy,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/history_exp_14.pkl,True
2,1,2,32,3,avg,0.7370654800628148,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/cnn_exp_02.keras,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/keras_weights_exp_1.npy,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/history_exp_1.pkl,True
14,13,3,64,3,avg,0.7356333171128523,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/cnn_exp_14.keras,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/keras_weights_exp_13.npy,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/history_exp_13.pkl,True
12,11,3,32,5,avg,0.7340177586987001,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/cnn_exp_12.keras,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/keras_weights_exp_11.npy,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/history_exp_11.pkl,True
16,15,3,64,5,avg,0.7336046054220288,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/cnn_exp_16.keras,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/keras_weights_exp_15.npy,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/history_exp_15.pkl,True
11,10,3,32,5,max,0.723266315115172,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/cnn_exp_11.keras,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/keras_weights_exp_10.npy,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/history_exp_10.pkl,True
10,9,3,32,3,avg,0.722801435956051,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/cnn_exp_10.keras,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/keras_weights_exp_9.npy,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/history_exp_9.pkl,True
6,5,2,64,3,avg,0.7123940535253487,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/cnn_exp_06.keras,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/keras_weights_exp_5.npy,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/history_exp_5.pkl,True
5,4,2,64,3,max,0.708734415300214,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/cnn_exp_05.keras,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/keras_weights_exp_4.npy,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/history_exp_4.pkl,True
1,0,2,32,3,max,0.7072638963163924,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/cnn_exp_01.keras,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/keras_weights_exp_0.npy,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/history_exp_0.pkl,True
3,2,2,32,5,max,0.6957356379263739,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/cnn_exp_03.keras,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/keras_weights_exp_2.npy,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/history_exp_2.pkl,True
4,3,2,32,5,avg,0.6889562563468958,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/cnn_exp_04.keras,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/keras_weights_exp_3.npy,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/history_exp_3.pkl,True
8,7,2,64,5,avg,0.6736832149643112,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/cnn_exp_08.keras,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/keras_weights_exp_7.npy,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/history_exp_7.pkl,True
7,6,2,64,5,max,0.6492237416944114,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/cnn_exp_07.keras,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/keras_weights_exp_6.npy,/Users/rusmn/Kuliah/SEMESTER 6/Machine Learning/Tubes2/ML-Tubes-2_RecursiveLearnaholic/models/cnn/history_exp_6.pkl,True
